DateRep,Day,Month,Year,Cases,Deaths,Countries and territories,GeoId
26/02/2020,26,2,2020,93,5,Italy,IT
25/02/2020,25,2,2020,97,4,Italy,IT
24/02/2020,24,2,2020,53,0,Italy,IT
23/02/2020,23,2,2020,62,2,Italy,IT
22/02/2020,22,2,2020,14,0,Italy,IT
21/02/2020,21,2,2020,0,0,Italy,IT
20/02/2020,20,2,2020,0,0,Italy,IT
19/02/2020,19,2,2020,0,0,Italy,IT
18/02/2020,18,2,2020,0,0,Italy,IT
17/02/2020,17,2,2020,0,0,Italy,IT
16/02/2020,16,2,2020,0,0,Italy,IT
15/02/2020,15,2,2020,0,0,Italy,IT
14/02/2020,14,2,2020,0,0,Italy,IT
13/02/2020,13,2,2020,0,0,Italy,IT
12/02/2020,12,2,2020,0,0,Italy,IT
11/02/2020,11,2,2020,0,0,Italy,IT
10/02/2020,10,2,2020,0,0,Italy,IT
09/02/2020,9,2,2020,0,0,Italy,IT
08/02/2020,8,2,2020,0,0,Italy,IT
07/02/2020,7,2,2020,0,0,Italy,IT
06/02/2020,6,2,2020,0,0,Italy,IT
05/02/2020,5,2,2020,0,0,Italy,IT
04/02/2020,4,2,2020,0,0,Italy,IT
03/02/2020,3,2,2020,0,0,Italy,IT
02/02/2020,2,2,2020,0,0,Italy,IT
01/02/2020,1,2,2020,0,0,Italy,IT
31/01/2020,31,1,2020,3,0,Italy,IT
30/01/2020,30,1,2020,0,0,Italy,IT
29/01/2020,29,1,2020,0,0,Italy,IT
28/01/2020,28,1,2020,0,0,Italy,IT
27/01/2020,27,1,2020,0,0,Italy,IT
26/01/2020,26,1,2020,0,0,Italy,IT
25/01/2020,25,1,2020,0,0,Italy,IT
24/01/2020,24,1,2020,0,0,Italy,IT
23/01/2020,23,1,2020,0,0,Italy,IT
22/01/2020,22,1,2020,0,0,Italy,IT
21/01/2020,21,1,2020,0,0,Italy,IT
20/01/2020,20,1,2020,0,0,Italy,IT
19/01/2020,19,1,2020,0,0,Italy,IT
18/01/2020,18,1,2020,0,0,Italy,IT
17/01/2020,17,1,2020,0,0,Italy,IT
16/01/2020,16,1,2020,0,0,Italy,IT
15/01/2020,15,1,2020,0,0,Italy,IT
14/01/2020,14,1,2020,0,0,Italy,IT
13/01/2020,13,1,2020,0,0,Italy,IT
12/01/2020,12,1,2020,0,0,Italy,IT
11/01/2020,11,1,2020,0,0,Italy,IT
10/01/2020,10,1,2020,0,0,Italy,IT
09/01/2020,9,1,2020,0,0,Italy,IT
08/01/2020,8,1,2020,0,0,Italy,IT
07/01/2020,7,1,2020,0,0,Italy,IT
06/01/2020,6,1,2020,0,0,Italy,IT
05/01/2020,5,1,2020,0,0,Italy,IT
04/01/2020,4,1,2020,0,0,Italy,IT
03/01/2020,3,1,2020,0,0,Italy,IT
02/01/2020,2,1,2020,0,0,Italy,IT
01/01/2020,1,1,2020,0,0,Italy,IT
31/12/2019,31,12,2019,0,0,Italy,IT
24/03/2020,24,3,2020,967,54,United_Kingdom,UK
23/03/2020,23,3,2020,665,48,United_Kingdom,UK
22/03/2020,22,3,2020,1035,56,United_Kingdom,UK
21/03/2020,21,3,2020,706,33,United_Kingdom,UK
20/03/2020,20,3,2020,647,41,United_Kingdom,UK
19/03/2020,19,3,2020,680,43,United_Kingdom,UK
